hour,Anomalies,Total,Anomaly_Rate
0,273,6562,4.160316976531545
1,145,7247,2.0008279287981234
2,66,7248,0.9105960264900662
3,38,6818,0.5573481959518921
4,34,7246,0.4692243996687827
5,24,7150,0.3356643356643357
6,14,7241,0.19334346084794918
7,18,6803,0.26458915184477433
8,26,7225,0.35986159169550175
9,22,7234,0.30411943599668234
10,26,6616,0.3929866989117291
11,30,7090,0.4231311706629055
12,46,7248,0.6346578366445916
13,48,7248,0.6622516556291391
14,52,7249,0.7173403228031452
15,49,7236,0.6771697070204533
16,43,7219,0.5956503670868541
17,33,7210,0.4576976421636616
18,41,6982,0.5872242910340876
19,55,7249,0.7587253414264037
20,76,6460,1.1764705882352942
21,117,7224,1.6196013289036544
22,157,7249,2.1658159746171886
23,272,7235,3.759502418797512
